instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,28,27,start,4,0,0,0,"['up', 'down']",left,1.378867382882163,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,29,28,start,4,0.0244990427317201,1,0,"['up', 'down']",down,1.0009079980663955,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,30,29,start,4,0.01877261252279394,1,0,"['up', 'down']",down,2.0377694161143154,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.3,1,90,"['left', 'right']",left,3.048795922892168,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.29393288281885754,1,0,"['up', 'down']",down,1.0266568360384554,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,3,2,start,4,0.25430437229992936,1,90,"['left', 'right']",left,1.3260994120500982,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,4,3,start,4,0.21917765722672616,1,90,"['left', 'right']",left,1.191627335967496,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,5,4,start,4,0.1884336467408868,1,0,"['up', 'down']",down,1.1558558188844472,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,6,5,start,4,0.16096816841978248,1,0,"['up', 'down']",down,1.7949049000162631,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,7,6,start,4,0.13587213846235047,1,90,"['left', 'right']",left,0.7981859550345689,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,8,7,start,4,0.11304081402258853,1,0,"['up', 'down']",down,1.171362180961296,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,9,8,start,4,0.0913380995102597,1,0,"['up', 'down']",down,1.3538478040136397,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,10,9,start,4,0.07094097006961395,1,0,"['up', 'down']",down,0.8557515759021044,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,11,10,start,4,0.05158608121187305,1,90,"['left', 'right']",left,1.2500996319577098,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,12,11,start,4,0.033062999937241044,1,90,"['left', 'right']",left,0.9107630711514503,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,13,12,start,4,0.015203954900492811,1,0,"['up', 'down']",down,0.7195214028470218,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,14,13,start,4,0,0,90,"['left', 'right']",down,0.999446728033945,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,15,14,start,4,0.06639192848194889,1,0,"['up', 'down']",down,1.475697671994567,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,16,15,start,4,0.05429207961838203,1,90,"['left', 'right']",left,0.8223132190760225,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,17,16,start,4,0.04285899778419722,1,90,"['left', 'right']",left,1.482045500073582,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,18,17,start,4,0.03221626991781973,1,90,"['left', 'right']",left,0.8276202660053968,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,19,18,start,4,0.022258037925598606,1,0,"['up', 'down']",down,0.7034916030243039,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,20,19,start,4,0.012886711527273387,1,0,"['up', 'down']",down,1.0010742398444563,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,21,20,start,4,0.0040133515322394175,1,0,"['up', 'down']",down,0.7735746570397168,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,22,21,start,4,0,0,90,"['left', 'right']",down,0.801949632819742,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,23,22,start,4,0.03204776925873598,0,0,"['up', 'down']",left,0.6792351650074124,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,24,23,start,4,0.06516800348220703,1,90,"['left', 'right']",left,1.8177903040777892,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,25,24,start,4,0.05775314084861588,1,0,"['up', 'down']",down,2.1418566850479692,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,26,25,start,4,0.05081558991634463,1,90,"['left', 'right']",left,0.7411532439291477,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
