instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.stepSizes,loop_practice.maxVal,loop_practice.minVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.stepType,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.stepSizes,loop_trial.maxVal,loop_trial.minVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.stepType,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,4,3,start,4,lin,0.16917765722672617,1,90,"['left', 'right']",left,0.7214261039625853,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,5,4,start,4,lin,0.13843364674088682,1,0,"['up', 'down']",up,1.24127162899822,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,6,5,start,4,lin,0.11096816841978249,1,0,"['up', 'down']",up,0.7326836769934744,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,7,6,start,4,lin,0.08587213846235048,1,0,"['up', 'down']",up,0.8446090251673013,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,8,7,start,4,lin,0.06304081402258854,1,90,"['left', 'right']",left,0.8962214898783714,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,9,8,start,4,lin,0.04133809951025971,1,0,"['up', 'down']",up,1.122113003861159,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,10,9,start,4,lin,0.020940970069613957,1,0,"['up', 'down']",up,1.3687950058374554,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,11,10,start,4,lin,0.0015860812118730638,1,90,"['left', 'right']",left,2.271714590024203,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,12,11,start,4,lin,0,1,0,"['up', 'down']",up,27.24081103084609,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,13,12,start,4,lin,0,1,90,"['left', 'right']",left,37.27965133404359,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,14,13,start,4,lin,0,0,90,"['left', 'right']",up,2.8608519800473005,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,15,14,start,4,lin,0.03435163552128781,1,90,"['left', 'right']",left,2.0464228549972177,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,16,15,start,4,lin,0.022567888938377245,1,0,"['up', 'down']",up,0.9693684638477862,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,17,16,start,4,lin,0.011698349071214753,1,90,"['left', 'right']",left,0.943555389996618,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,18,17,start,4,lin,0.001604255719232367,1,90,"['left', 'right']",left,2.592175478115678,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,19,18,start,4,lin,0,1,0,"['up', 'down']",up,5.923401734791696,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,20,19,start,4,lin,0,1,90,"['left', 'right']",left,1.9185251852031797,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,21,20,start,4,lin,0,1,0,"['up', 'down']",up,1.997942198999226,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,22,21,start,4,lin,0,1,90,"['left', 'right']",left,1.6833322739694268,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,23,22,start,4,lin,0,1,0,"['up', 'down']",up,1.525789638981223,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,24,23,start,4,lin,0,0,0,"['up', 'down']",left,1.7794919800944626,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,25,24,start,4,lin,0,0,90,"['left', 'right']",up,1.6976512151304632,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,26,25,start,4,lin,0.02444237422483761,1,90,"['left', 'right']",left,1.9796378528699279,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,27,26,start,4,lin,0.018053098487754382,1,90,"['left', 'right']",left,1.1041805879212916,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,28,27,start,4,lin,0.0121758314792077,1,0,"['up', 'down']",up,1.1847801881376654,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,29,28,start,4,lin,0.006595498207808026,1,90,"['left', 'right']",left,1.4216722070705146,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,30,29,start,4,lin,0.0013354620455342803,1,0,"['up', 'down']",up,1.8578299980144948,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.25,1,90,"['left', 'right']",left,1.523087385110557,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,2,1,start,4,lin,0.24393288281885755,1,0,"['up', 'down']",up,0.7778956848196685,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,3,2,start,4,lin,0.20430437229992937,1,0,"['up', 'down']",up,0.8335184529423714,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
